     constrained brachistochrone problem
 iteration  value of cost   constraint violations
     1      0.10000000D+01       0.7771D+00
     2      0.20000000D+01       0.1547D+01
     3      0.16999845D+01       0.2312D+00
     4      0.18906316D+01       0.3518D-01
     5      0.18909095D+01       0.2619D-02
     6      0.18586007D+01       0.5257D-02
     7      0.18265215D+01       0.1007D-01
     8      0.17859893D+01       0.2417D-01
     9      0.18029380D+01       0.2344D-03
    10      0.18002307D+01       0.3732D-03
    11      0.17971808D+01       0.9758D-03
    12      0.17967373D+01       0.1809D-03
    13      0.17957952D+01       0.4564D-03
    14      0.17958397D+01       0.8910D-04
    15      0.17956336D+01       0.7397D-04
    16      0.17956215D+01       0.4948D-05
    17      0.17954695D+01       0.3955D-04
    18      0.17953545D+01       0.7071D-04
    19      0.17953767D+01       0.7151D-05
    20      0.17952737D+01       0.4279D-04
    21      0.17952743D+01       0.6290D-05
    22      0.17952700D+01       0.1909D-05
    23      0.17952490D+01       0.8772D-05
    24      0.17952443D+01       0.3776D-05
    25      0.17952374D+01       0.4447D-05
    26      0.17952392D+01       0.8383D-06
    27      0.17952392D+01       0.8383D-06
     mode  =   0   after 27  iterations
